State,County,Location,ANSI Code,State Initial
Alabama,De Kalb,"De Kalb County, Alabama",01049,AL
Alabama,Lauderdale,"Lauderdale County, Alabama",01077,AL
Alabama,Lawrence,"Lawrence County, Alabama",01079,AL
Alabama,Limestone,"Limestone County, Alabama",01083,AL
Alabama,Madison,"Madison County, Alabama",01089,AL
Arkansas,Arkansas,"Arkansas County, Arkansas",05001,AR
Arkansas,Ashley,"Ashley County, Arkansas",05003,AR
Arkansas,Chicot,"Chicot County, Arkansas",05017,AR
Arkansas,Clay,"Clay County, Arkansas",05021,AR
Arkansas,Craighead,"Craighead County, Arkansas",05031,AR
Arkansas,Cross,"Cross County, Arkansas",05037,AR
Arkansas,Desha,"Desha County, Arkansas",05041,AR
Arkansas,Drew,"Drew County, Arkansas",05043,AR
Arkansas,Greene,"Greene County, Arkansas",05055,AR
Arkansas,Jackson,"Jackson County, Arkansas",05067,AR
Arkansas,Jefferson,"Jefferson County, Arkansas",05069,AR
Arkansas,Lawrence,"Lawrence County, Arkansas",05075,AR
Arkansas,Lincoln,"Lincoln County, Arkansas",05079,AR
Arkansas,Mississippi,"Mississippi County, Arkansas",05093,AR
Arkansas,Monroe,"Monroe County, Arkansas",05095,AR
Arkansas,Poinsett,"Poinsett County, Arkansas",05111,AR
Arkansas,Prairie,"Prairie County, Arkansas",05117,AR
Arkansas,Saint Francis,"Saint Francis County, Arkansas",05123,AR
Arkansas,Woodruff,"Woodruff County, Arkansas",05147,AR
California,Solano,"Solano County, California",06095,CA
Colorado,Yuma,"Yuma County, Colorado",08125,CO
Delaware,Kent,"Kent County, Delaware",10001,DE
Delaware,New Castle,"New Castle County, Delaware",10003,DE
Delaware,Sussex,"Sussex County, Delaware",10005,DE
Georgia,Baker,"Baker County, Georgia",13007,GA
Georgia,Burke,"Burke County, Georgia",13033,GA
Georgia,Calhoun,"Calhoun County, Georgia",13037,GA
Georgia,Coffee,"Coffee County, Georgia",13069,GA
Georgia,Screven,"Screven County, Georgia",13251,GA
Georgia,Seminole,"Seminole County, Georgia",13253,GA
Georgia,Worth,"Worth County, Georgia",13321,GA
Idaho,Benewah,"Benewah County, Idaho",16009,ID
Idaho,Idaho,"Idaho County, Idaho",16049,ID
Idaho,Lewis,"Lewis County, Idaho",16061,ID
Idaho,Power,"Power County, Idaho",16077,ID
Illinois,Adams,"Adams County, Illinois",17001,IL
Illinois,Boone,"Boone County, Illinois",17007,IL
Illinois,Brown,"Brown County, Illinois",17009,IL
Illinois,Bureau,"Bureau County, Illinois",17011,IL
Illinois,Carroll,"Carroll County, Illinois",17015,IL
Illinois,Cass,"Cass County, Illinois",17017,IL
Illinois,Champaign,"Champaign County, Illinois",17019,IL
Illinois,Christian,"Christian County, Illinois",17021,IL
Illinois,Clay,"Clay County, Illinois",17025,IL
Illinois,Clinton,"Clinton County, Illinois",17027,IL
Illinois,Coles,"Coles County, Illinois",17029,IL
Illinois,Crawford,"Crawford County, Illinois",17033,IL
Illinois,Cumberland,"Cumberland County, Illinois",17035,IL
Illinois,De Kalb,"De Kalb County, Illinois",17037,IL
Illinois,Douglas,"Douglas County, Illinois",17041,IL
Illinois,Edgar,"Edgar County, Illinois",17045,IL
Illinois,Effingham,"Effingham County, Illinois",17049,IL
Illinois,Fayette,"Fayette County, Illinois",17051,IL
Illinois,Ford,"Ford County, Illinois",17053,IL
Illinois,Franklin,"Franklin County, Illinois",17055,IL
Illinois,Fulton,"Fulton County, Illinois",17057,IL
Illinois,Gallatin,"Gallatin County, Illinois",17059,IL
Illinois,Greene,"Greene County, Illinois",17061,IL
Illinois,Grundy,"Grundy County, Illinois",17063,IL
Illinois,Henderson,"Henderson County, Illinois",17071,IL
Illinois,Henry,"Henry County, Illinois",17073,IL
Illinois,Iroquois,"Iroquois County, Illinois",17075,IL
Illinois,Jasper,"Jasper County, Illinois",17079,IL
Illinois,Jefferson,"Jefferson County, Illinois",17081,IL
Illinois,Jo Daviess,"Jo Daviess County, Illinois",17085,IL
Illinois,Kane,"Kane County, Illinois",17089,IL
Illinois,Kankakee,"Kankakee County, Illinois",17091,IL
Illinois,Knox,"Knox County, Illinois",17095,IL
Illinois,La Salle,"La Salle County, Illinois",17099,IL
Illinois,Lawrence,"Lawrence County, Illinois",17101,IL
Illinois,Lee,"Lee County, Illinois",17103,IL
Illinois,Livingston,"Livingston County, Illinois",17105,IL
Illinois,Logan,"Logan County, Illinois",17107,IL
Illinois,Macon,"Macon County, Illinois",17115,IL
Illinois,Macoupin,"Macoupin County, Illinois",17117,IL
Illinois,Madison,"Madison County, Illinois",17119,IL
Illinois,Marion,"Marion County, Illinois",17121,IL
Illinois,Marshall,"Marshall County, Illinois",17123,IL
Illinois,Mason,"Mason County, Illinois",17125,IL
Illinois,Mcdonough,"Mcdonough County, Illinois",17109,IL
Illinois,Mclean,"Mclean County, Illinois",17113,IL
Illinois,Mercer,"Mercer County, Illinois",17131,IL
Illinois,Monroe,"Monroe County, Illinois",17133,IL
Illinois,Montgomery,"Montgomery County, Illinois",17135,IL
Illinois,Morgan,"Morgan County, Illinois",17137,IL
Illinois,Moultrie,"Moultrie County, Illinois",17139,IL
Illinois,Ogle,"Ogle County, Illinois",17141,IL
Illinois,Peoria,"Peoria County, Illinois",17143,IL
Illinois,Perry,"Perry County, Illinois",17145,IL
Illinois,Piatt,"Piatt County, Illinois",17147,IL
Illinois,Pulaski,"Pulaski County, Illinois",17153,IL
Illinois,Randolph,"Randolph County, Illinois",17157,IL
Illinois,Sangamon,"Sangamon County, Illinois",17167,IL
Illinois,Schuyler,"Schuyler County, Illinois",17169,IL
Illinois,Shelby,"Shelby County, Illinois",17173,IL
Illinois,St Clair,"St Clair County, Illinois",17163,IL
Illinois,Stark,"Stark County, Illinois",17175,IL
Illinois,Stephenson,"Stephenson County, Illinois",17177,IL
Illinois,Tazewell,"Tazewell County, Illinois",17179,IL
Illinois,Warren,"Warren County, Illinois",17187,IL
Illinois,Washington,"Washington County, Illinois",17189,IL
Illinois,Wayne,"Wayne County, Illinois",17191,IL
Illinois,White,"White County, Illinois",17193,IL
Illinois,Whiteside,"Whiteside County, Illinois",17195,IL
Illinois,Will,"Will County, Illinois",17197,IL
Illinois,Williamson,"Williamson County, Illinois",17199,IL
Illinois,Winnebago,"Winnebago County, Illinois",17201,IL
Illinois,Woodford,"Woodford County, Illinois",17203,IL
Indiana,Adams,"Adams County, Indiana",18001,IN
Indiana,Allen,"Allen County, Indiana",18003,IN
Indiana,Bartholomew,"Bartholomew County, Indiana",18005,IN
Indiana,Benton,"Benton County, Indiana",18007,IN
Indiana,Boone,"Boone County, Indiana",18011,IN
Indiana,Carroll,"Carroll County, Indiana",18015,IN
Indiana,Clark,"Clark County, Indiana",18019,IN
Indiana,Daviess,"Daviess County, Indiana",18027,IN
Indiana,De Kalb,"De Kalb County, Indiana",18033,IN
