Year,State,Ag District,County,Value,Location,ANSI Code,State Initial
2020,Alabama,Mountains & Eastern Valley,De Kalb,155.9,"De Kalb County, Alabama",01049,AL
2020,Alabama,Northern Valley,Lauderdale,165.5,"Lauderdale County, Alabama",01077,AL
2020,Alabama,Northern Valley,Lawrence,185.9,"Lawrence County, Alabama",01079,AL
2020,Alabama,Northern Valley,Limestone,180.1,"Limestone County, Alabama",01083,AL
2020,Alabama,Northern Valley,Madison,157.6,"Madison County, Alabama",01089,AL
2019,Alabama,Mountains & Eastern Valley,De Kalb,130.9,"De Kalb County, Alabama",01049,AL
2019,Alabama,Northern Valley,Lauderdale,172.7,"Lauderdale County, Alabama",01077,AL
2019,Alabama,Northern Valley,Lawrence,171.8,"Lawrence County, Alabama",01079,AL
2019,Alabama,Northern Valley,Limestone,160.7,"Limestone County, Alabama",01083,AL
2019,Alabama,Northern Valley,Madison,179.9,"Madison County, Alabama",01089,AL
2018,Alabama,Mountains & Eastern Valley,De Kalb,168.3,"De Kalb County, Alabama",01049,AL
2018,Alabama,Northern Valley,Lauderdale,165.3,"Lauderdale County, Alabama",01077,AL
2018,Alabama,Northern Valley,Lawrence,176.9,"Lawrence County, Alabama",01079,AL
2018,Alabama,Northern Valley,Limestone,183.2,"Limestone County, Alabama",01083,AL
2018,Alabama,Northern Valley,Madison,159.7,"Madison County, Alabama",01089,AL
2017,Alabama,Mountains & Eastern Valley,De Kalb,163.4,"De Kalb County, Alabama",01049,AL
2017,Alabama,Northern Valley,Lauderdale,178.4,"Lauderdale County, Alabama",01077,AL
2017,Alabama,Northern Valley,Lawrence,204.0,"Lawrence County, Alabama",01079,AL
2017,Alabama,Northern Valley,Limestone,198.9,"Limestone County, Alabama",01083,AL
2017,Alabama,Northern Valley,Madison,176.7,"Madison County, Alabama",01089,AL
2016,Alabama,Mountains & Eastern Valley,De Kalb,96.8,"De Kalb County, Alabama",01049,AL
2016,Alabama,Northern Valley,Lauderdale,106.5,"Lauderdale County, Alabama",01077,AL
2016,Alabama,Northern Valley,Lawrence,117.2,"Lawrence County, Alabama",01079,AL
2016,Alabama,Northern Valley,Limestone,112.9,"Limestone County, Alabama",01083,AL
2016,Alabama,Northern Valley,Madison,150.7,"Madison County, Alabama",01089,AL
2015,Alabama,Mountains & Eastern Valley,De Kalb,151.0,"De Kalb County, Alabama",01049,AL
2015,Alabama,Northern Valley,Lauderdale,161.6,"Lauderdale County, Alabama",01077,AL
2015,Alabama,Northern Valley,Lawrence,140.3,"Lawrence County, Alabama",01079,AL
2015,Alabama,Northern Valley,Limestone,170.8,"Limestone County, Alabama",01083,AL
2015,Alabama,Northern Valley,Madison,173.2,"Madison County, Alabama",01089,AL
2014,Alabama,Mountains & Eastern Valley,De Kalb,144.3,"De Kalb County, Alabama",01049,AL
2014,Alabama,Northern Valley,Lauderdale,184.4,"Lauderdale County, Alabama",01077,AL
2014,Alabama,Northern Valley,Lawrence,187.1,"Lawrence County, Alabama",01079,AL
2014,Alabama,Northern Valley,Limestone,181.7,"Limestone County, Alabama",01083,AL
2014,Alabama,Northern Valley,Madison,169.0,"Madison County, Alabama",01089,AL
2013,Alabama,Mountains & Eastern Valley,De Kalb,140.5,"De Kalb County, Alabama",01049,AL
