Year,State,Ag District,County,Value,Location,ANSI Code,State Initial
2020,Alabama,Mountains & Eastern Valley,De Kalb,39.9,"De Kalb County, Alabama",01049,AL
2020,Alabama,Northern Valley,Lauderdale,39.6,"Lauderdale County, Alabama",01077,AL
2020,Alabama,Northern Valley,Limestone,36.9,"Limestone County, Alabama",01083,AL
2020,Alabama,Northern Valley,Madison,42.1,"Madison County, Alabama",01089,AL
2019,Alabama,Mountains & Eastern Valley,De Kalb,30.6,"De Kalb County, Alabama",01049,AL
2019,Alabama,Northern Valley,Lauderdale,38.6,"Lauderdale County, Alabama",01077,AL
2019,Alabama,Northern Valley,Limestone,40.5,"Limestone County, Alabama",01083,AL
2019,Alabama,Northern Valley,Madison,39.5,"Madison County, Alabama",01089,AL
2018,Alabama,Mountains & Eastern Valley,De Kalb,49.9,"De Kalb County, Alabama",01049,AL
2018,Alabama,Northern Valley,Lauderdale,35.4,"Lauderdale County, Alabama",01077,AL
2018,Alabama,Northern Valley,Limestone,43.3,"Limestone County, Alabama",01083,AL
2018,Alabama,Northern Valley,Madison,38.2,"Madison County, Alabama",01089,AL
2017,Alabama,Mountains & Eastern Valley,De Kalb,46.1,"De Kalb County, Alabama",01049,AL
2017,Alabama,Northern Valley,Lauderdale,46.3,"Lauderdale County, Alabama",01077,AL
2017,Alabama,Northern Valley,Limestone,50.3,"Limestone County, Alabama",01083,AL
2017,Alabama,Northern Valley,Madison,42.4,"Madison County, Alabama",01089,AL
2016,Alabama,Mountains & Eastern Valley,De Kalb,29.2,"De Kalb County, Alabama",01049,AL
2016,Alabama,Northern Valley,Lauderdale,29.9,"Lauderdale County, Alabama",01077,AL
2016,Alabama,Northern Valley,Limestone,31.8,"Limestone County, Alabama",01083,AL
2016,Alabama,Northern Valley,Madison,37.6,"Madison County, Alabama",01089,AL
2015,Alabama,Mountains & Eastern Valley,De Kalb,45.6,"De Kalb County, Alabama",01049,AL
2015,Alabama,Northern Valley,Lauderdale,46.5,"Lauderdale County, Alabama",01077,AL
2015,Alabama,Northern Valley,Limestone,47.4,"Limestone County, Alabama",01083,AL
2015,Alabama,Northern Valley,Madison,45.8,"Madison County, Alabama",01089,AL
2014,Alabama,Mountains & Eastern Valley,De Kalb,44.3,"De Kalb County, Alabama",01049,AL
2014,Alabama,Northern Valley,Lauderdale,37.5,"Lauderdale County, Alabama",01077,AL
2014,Alabama,Northern Valley,Limestone,37.8,"Limestone County, Alabama",01083,AL
2014,Alabama,Northern Valley,Madison,42.7,"Madison County, Alabama",01089,AL
2013,Alabama,Mountains & Eastern Valley,De Kalb,47.9,"De Kalb County, Alabama",01049,AL
2013,Alabama,Northern Valley,Lauderdale,40.1,"Lauderdale County, Alabama",01077,AL
2013,Alabama,Northern Valley,Limestone,45.0,"Limestone County, Alabama",01083,AL
2013,Alabama,Northern Valley,Madison,43.6,"Madison County, Alabama",01089,AL
2012,Alabama,Mountains & Eastern Valley,De Kalb,47.0,"De Kalb County, Alabama",01049,AL
2012,Alabama,Northern Valley,Lauderdale,46.4,"Lauderdale County, Alabama",01077,AL
2012,Alabama,Northern Valley,Limestone,48.4,"Limestone County, Alabama",01083,AL
2012,Alabama,Northern Valley,Madison,46.3,"Madison County, Alabama",01089,AL
2011,Alabama,Mountains & Eastern Valley,De Kalb,30.0,"De Kalb County, Alabama",01049,AL
2011,Alabama,Northern Valley,Lauderdale,31.0,"Lauderdale County, Alabama",01077,AL
2011,Alabama,Northern Valley,Limestone,38.0,"Limestone County, Alabama",01083,AL
2011,Alabama,Northern Valley,Madison,34.5,"Madison County, Alabama",01089,AL
2010,Alabama,Mountains & Eastern Valley,De Kalb,23.3,"De Kalb County, Alabama",01049,AL
2010,Alabama,Northern Valley,Lauderdale,24.5,"Lauderdale County, Alabama",01077,AL
2010,Alabama,Northern Valley,Limestone,26.0,"Limestone County, Alabama",01083,AL
2010,Alabama,Northern Valley,Madison,22.6,"Madison County, Alabama",01089,AL
2009,Alabama,Mountains & Eastern Valley,De Kalb,38.0,"De Kalb County, Alabama",01049,AL
2009,Alabama,Northern Valley,Lauderdale,39.5,"Lauderdale County, Alabama",01077,AL
2009,Alabama,Northern Valley,Limestone,44.5,"Limestone County, Alabama",01083,AL
2009,Alabama,Northern Valley,Madison,42.0,"Madison County, Alabama",01089,AL
2008,Alabama,Mountains & Eastern Valley,De Kalb,25.5,"De Kalb County, Alabama",01049,AL
2008,Alabama,Northern Valley,Lauderdale,26.5,"Lauderdale County, Alabama",01077,AL
2008,Alabama,Northern Valley,Limestone,34.0,"Limestone County, Alabama",01083,AL
2008,Alabama,Northern Valley,Madison,38.5,"Madison County, Alabama",01089,AL
2007,Alabama,Mountains & Eastern Valley,De Kalb,17.0,"De Kalb County, Alabama",01049,AL
2007,Alabama,Northern Valley,Lauderdale,18.0,"Lauderdale County, Alabama",01077,AL
2007,Alabama,Northern Valley,Limestone,18.0,"Limestone County, Alabama",01083,AL
2007,Alabama,Northern Valley,Madison,21.0,"Madison County, Alabama",01089,AL
2006,Alabama,Mountains & Eastern Valley,De Kalb,20.0,"De Kalb County, Alabama",01049,AL
2006,Alabama,Northern Valley,Lauderdale,24.0,"Lauderdale County, Alabama",01077,AL
2006,Alabama,Northern Valley,Limestone,16.0,"Limestone County, Alabama",01083,AL
2006,Alabama,Northern Valley,Madison,16.0,"Madison County, Alabama",01089,AL
2005,Alabama,Mountains & Eastern Valley,De Kalb,40.0,"De Kalb County, Alabama",01049,AL
2005,Alabama,Northern Valley,Lauderdale,28.0,"Lauderdale County, Alabama",01077,AL
2005,Alabama,Northern Valley,Limestone,31.0,"Limestone County, Alabama",01083,AL
2005,Alabama,Northern Valley,Madison,31.0,"Madison County, Alabama",01089,AL
2004,Alabama,Mountains & Eastern Valley,De Kalb,39.0,"De Kalb County, Alabama",01049,AL
2004,Alabama,Northern Valley,Lauderdale,31.0,"Lauderdale County, Alabama",01077,AL
2004,Alabama,Northern Valley,Limestone,40.0,"Limestone County, Alabama",01083,AL
2004,Alabama,Northern Valley,Madison,35.0,"Madison County, Alabama",01089,AL
2003,Alabama,Mountains & Eastern Valley,De Kalb,39.0,"De Kalb County, Alabama",01049,AL
2003,Alabama,Northern Valley,Lauderdale,37.0,"Lauderdale County, Alabama",01077,AL
2003,Alabama,Northern Valley,Limestone,39.0,"Limestone County, Alabama",01083,AL
2003,Alabama,Northern Valley,Madison,36.0,"Madison County, Alabama",01089,AL
2002,Alabama,Mountains & Eastern Valley,De Kalb,19.0,"De Kalb County, Alabama",01049,AL
