Year,State,Ag District,County,Value,Location,ANSI Code,State Initial
2020,California,Sacramento Valley,Solano,53.3,"Solano County, California",06095,CA
2019,California,Sacramento Valley,Solano,46.5,"Solano County, California",06095,CA
2018,California,Sacramento Valley,Solano,72.3,"Solano County, California",06095,CA
2017,California,Sacramento Valley,Solano,60.0,"Solano County, California",06095,CA
2016,California,Sacramento Valley,Solano,71.8,"Solano County, California",06095,CA
2015,California,Sacramento Valley,Solano,83.2,"Solano County, California",06095,CA
2014,California,Sacramento Valley,Solano,60.0,"Solano County, California",06095,CA
2013,California,Sacramento Valley,Solano,67.9,"Solano County, California",06095,CA
2012,California,Sacramento Valley,Solano,69.8,"Solano County, California",06095,CA
2011,California,Sacramento Valley,Solano,89.4,"Solano County, California",06095,CA
2010,California,Sacramento Valley,Solano,69.8,"Solano County, California",06095,CA
2009,California,Sacramento Valley,Solano,68.0,"Solano County, California",06095,CA
2008,California,Sacramento Valley,Solano,75.5,"Solano County, California",06095,CA
2007,California,Sacramento Valley,Solano,65.7,"Solano County, California",06095,CA
2006,California,Sacramento Valley,Solano,51.0,"Solano County, California",06095,CA
2005,California,Sacramento Valley,Solano,69.9,"Solano County, California",06095,CA
2004,California,Sacramento Valley,Solano,85.0,"Solano County, California",06095,CA
2003,California,Sacramento Valley,Solano,56.8,"Solano County, California",06095,CA
2002,California,Sacramento Valley,Solano,64.1,"Solano County, California",06095,CA
2001,California,Sacramento Valley,Solano,72.5,"Solano County, California",06095,CA
2000,California,Sacramento Valley,Solano,77.3,"Solano County, California",06095,CA
1999,California,Sacramento Valley,Solano,86.3,"Solano County, California",06095,CA
1998,California,Sacramento Valley,Solano,68.2,"Solano County, California",06095,CA
1997,California,Sacramento Valley,Solano,61.1,"Solano County, California",06095,CA
1996,California,Sacramento Valley,Solano,58.9,"Solano County, California",06095,CA
1995,California,Sacramento Valley,Solano,53.0,"Solano County, California",06095,CA
1994,California,Sacramento Valley,Solano,76.1,"Solano County, California",06095,CA
1993,California,Sacramento Valley,Solano,69.3,"Solano County, California",06095,CA
1992,California,Sacramento Valley,Solano,75.1,"Solano County, California",06095,CA
1991,California,Sacramento Valley,Solano,76.0,"Solano County, California",06095,CA
2020,Idaho,North,Benewah,94.2,"Benewah County, Idaho",16009,ID
2020,Idaho,North,Idaho,100.5,"Idaho County, Idaho",16049,ID
2020,Idaho,North,Lewis,95.8,"Lewis County, Idaho",16061,ID
2020,Idaho,East,Power,87.3,"Power County, Idaho",16077,ID
